0:0:0:0:0:0:0:1 - - [02/May/2019:15:29:31 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:31:31 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [02/May/2019:15:31:31 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:31:32 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [02/May/2019:15:31:32 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:51 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:51 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:52 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:52 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:52 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:52 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:52 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:52 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:53 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:53 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:53 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [02/May/2019:15:41:53 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:10 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:10 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:36 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:36 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:37 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:37 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:38 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:38 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:51 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:51 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:51 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [02/May/2019:15:42:51 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:43:05 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [02/May/2019:15:43:05 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
